"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"03040","03040","Spliceosome","50/628","103/3446",0.485436893203884,2.66371900315379,8.09159880996198,9.39408671159189e-13,2.86519644703553e-10,2.64023279157372e-10,"K12893/K11097/K12857/K12839/K12873/K12891/K12881/K12823/K12834/K06063/K12813/K12815/K11087/K12826/K12883/K12836/K12886/K12741/K12625/K12733/K12812/K12626/K12872/K11091/K11094/K09567/K12831/K11095/K12890/K13098/K11088/K12892/K12896/K12854/K12824/K11093/K12820/K11099/K12822/K12897/K11096/K13025/K12623/K12622/K11098/K12627/K12835/K11984/K12869/K12818",50
"05016","05016","Huntington disease","64/628","152/3446",0.421052631578947,2.3104257458934,7.79967226153785,2.02802127983307e-12,3.09273245174543e-10,2.84990358797594e-10,"K03940/K03964/K02127/K00417/K07374/K03009/K02138/K00418/K03949/K03946/K03936/K02737/K03939/K03965/K03011/K02131/K03064/K05613/K05614/K03006/K03016/K11353/K02132/K03008/K03937/K03953/K03950/K03963/K10425/K02732/K02739/K02738/K03012/K02736/K11644/K02272/K03065/K03061/K03028/K06067/K02734/K02266/K03010/K03120/K03031/K09047/K10407/K02727/K02136/K11352/K00414/K03014/K02134/K02133/K03952/K03033/K04564/K03934/K10881/K10424/K03954/K02726/K03066/K05870",64
"05020","05020","Prion disease","53/628","118/3446",0.449152542372881,2.46461729461298,7.64147934506122,9.09080942429669e-12,9.24232291470163e-10,8.51665303960426e-10,"K03940/K03964/K02127/K00417/K07374/K04348/K02138/K00418/K03949/K03946/K03936/K02737/K03939/K03965/K02131/K03064/K11353/K02132/K03937/K03953/K03950/K03963/K09049/K02732/K02739/K02738/K02736/K02272/K03065/K03061/K03028/K02734/K02266/K03031/K04450/K09047/K10407/K02727/K09553/K02136/K11352/K06068/K00414/K02134/K02133/K03952/K03033/K03934/K10881/K03954/K02726/K03066/K05870",53
"05014","05014","Amyotrophic lateral sclerosis","68/628","178/3446",0.382022471910112,2.09625706720103,7.08900567404476,8.55820481233456e-11,6.5256311694051e-09,6.0132649602456e-09,"K03940/K07925/K17095/K03964/K02127/K00417/K07374/K04348/K02138/K12881/K00418/K13525/K03949/K03946/K03936/K02737/K03939/K03965/K02131/K03064/K05613/K11353/K07874/K02132/K03937/K03953/K12741/K03950/K03963/K09054/K10425/K02732/K02739/K02738/K05688/K07901/K02736/K02272/K03065/K03061/K03028/K14308/K13098/K02734/K14298/K02266/K12892/K12896/K09027/K14295/K14305/K03031/K10407/K02727/K02136/K11352/K00414/K02134/K02133/K03952/K03033/K03934/K10881/K10424/K03954/K02726/K04556/K03066",68
"00190","00190","Oxidative phosphorylation","34/628","66/3446",0.515151515151515,2.82677089364987,7.07296715788082,6.37422037884721e-10,3.8882744310968e-08,3.58298282347833e-08,"K03940/K03964/K02127/K00417/K02138/K00418/K03949/K03946/K03936/K03939/K03965/K02131/K11353/K02132/K03937/K03953/K03950/K03963/K02152/K02272/K02266/K02153/K02147/K02149/K03662/K02136/K11352/K00414/K02134/K02133/K03952/K03934/K03954/K02151",34
"05012","05012","Parkinson disease","52/628","135/3446",0.385185185185185,2.11361170087285,6.23053040843826,1.20591419883888e-08,6.13006384409766e-07,5.64875598403477e-07,"K03940/K03964/K02127/K00417/K07374/K02138/K00418/K03949/K03946/K03936/K02737/K03939/K03965/K02131/K03064/K11353/K02132/K03937/K03953/K03950/K03963/K09054/K02732/K02739/K05687/K02738/K05688/K02736/K02272/K03671/K03065/K03061/K03028/K02734/K02266/K09027/K03031/K10407/K02727/K02136/K11352/K00414/K02134/K02133/K03952/K03033/K03934/K10881/K03954/K02726/K04556/K03066",52
"03083","03083","Polycomb repressive complex","22/628","40/3446",0.55,3.01799363057325,6.05942487701295,1.61564712933979e-07,7.03960534926624e-06,6.48688396291315e-06,"K10752/K11659/K03094/K11451/K11454/K11455/K09404/K11479/K04683/K14963/K10695/K06067/K11470/K11487/K11488/K11489/K09201/K11452/K11453/K11459/K11586/K04453",22
"03010","03010","Ribosome","45/628","122/3446",0.368852459016393,2.02398976715046,5.43561846255597,5.33952639006841e-07,2.03569443621358e-05,1.87585992914246e-05,"K02990/K02884/K02896/K02942/K02863/K02937/K02941/K02885/K02899/K02883/K02981/K17403/K02935/K02997/K17410/K02873/K02993/K17422/K02879/K17418/K02962/K02906/K17409/K02936/K02903/K02912/K02955/K02887/K17401/K02865/K02939/K02974/K02951/K02988/K02876/K02881/K02934/K17425/K02900/K02992/K02882/K17427/K17404/K02888/K17424",45
"05208","05208","Chemical carcinogenesis - reactive oxygen species","37/628","95/3446",0.389473684210526,2.13714381495139,5.30510425323396,1.22917421770697e-06,4.16553484889586e-05,3.83847387283932e-05,"K03940/K00799/K03964/K02127/K00417/K02138/K00418/K03949/K03946/K03936/K03939/K03965/K02131/K11353/K02132/K03937/K03953/K09097/K03950/K03963/K07293/K02272/K02266/K04379/K04734/K02136/K11352/K06068/K04448/K00414/K02134/K04456/K02133/K03952/K04564/K03934/K03954",37
"03050","03050","Proteasome","19/628","36/3446",0.527777777777778,2.89605449398443,5.39794949220234,2.67306778438777e-06,8.15285674238271e-05,7.5127273519109e-05,"K02737/K02740/K03064/K02732/K02733/K02739/K02738/K02741/K02736/K03065/K03061/K03028/K02734/K03031/K02727/K03033/K10881/K02726/K03066",19
"05415","05415","Diabetic cardiomyopathy","34/628","88/3446",0.386363636363636,2.12007817023741,5.02404202949988,4.15252168734565e-06,0.000115138101330948,0.000106097922537922,"K03940/K03964/K02127/K00417/K02138/K02677/K19662/K19663/K00418/K03949/K03946/K03936/K03939/K03965/K02131/K11353/K02132/K03937/K03953/K03950/K03963/K02272/K02266/K06269/K02136/K11352/K06068/K00414/K02134/K04456/K02133/K03952/K03934/K03954",34
"05022","05022","Pathways of neurodegeneration - multiple diseases","65/628","216/3446",0.300925925925926,1.65125914130691,4.66641529904032,7.89046050470399e-06,0.00020054920449456,0.000184802890768067,"K03940/K07925/K03964/K02127/K00417/K07374/K04348/K02138/K08960/K02677/K19662/K19663/K00418/K13525/K05864/K03949/K03946/K03936/K02737/K03939/K03965/K02131/K03064/K11353/K07874/K02132/K03937/K03953/K03950/K03963/K09054/K10425/K02732/K02739/K05687/K02738/K05688/K07901/K02736/K02272/K03065/K03061/K02085/K03028/K13098/K02734/K02266/K09027/K03031/K10407/K02727/K02136/K11352/K00414/K02134/K02133/K03952/K03033/K03934/K10881/K10424/K03954/K02726/K04556/K03066",65
"05010","05010","Alzheimer disease","54/628","172/3446",0.313953488372093,1.72274477855133,4.59001166580662,1.26932458481152e-05,0.000297803075667319,0.000274420780683949,"K03940/K03964/K02127/K00417/K07374/K04348/K02138/K08960/K00418/K05864/K03949/K03946/K03936/K02737/K03939/K03965/K02131/K03064/K11353/K02132/K03937/K03953/K03950/K03963/K09054/K02732/K02739/K02738/K02736/K02272/K04532/K03065/K03061/K02085/K03028/K02734/K02266/K09027/K03031/K10407/K02727/K02136/K11352/K00414/K02134/K04456/K02133/K03952/K03033/K03934/K10881/K03954/K02726/K03066",54
"04714","04714","Thermogenesis","38/628","111/3446",0.342342342342342,1.87852183393585,4.44089055686091,3.11179506148325e-05,0.000677926781251708,0.000624698707831599,"K03940/K03964/K02127/K00417/K18182/K02138/K00418/K03949/K03946/K03936/K03939/K03965/K02131/K11353/K02132/K03937/K03953/K03950/K03963/K02272/K11340/K11652/K02266/K18160/K04450/K09047/K02136/K11352/K00414/K02134/K11650/K07208/K02133/K03952/K03934/K03954/K11651/K05870",38
"04932","04932","Non-alcoholic fatty liver disease","26/628","70/3446",0.371428571428571,2.03812556869882,4.14191926542291,0.00012448423249231,0.00253117939401031,0.00233244140880329,"K03940/K03964/K00417/K00418/K03949/K03946/K03936/K03939/K03965/K11353/K03937/K03953/K03950/K03963/K08524/K02272/K02266/K09027/K04379/K11352/K04448/K00414/K04456/K03952/K03934/K03954",26
"03420","03420","Nucleotide excision repair","19/628","45/3446",0.422222222222222,2.31684359518754,4.19702037257218,0.000145478962579568,0.00277319272417302,0.00255545282952268,"K03009/K10747/K03868/K03011/K07466/K10755/K03504/K03006/K03016/K03008/K02326/K03012/K10739/K10756/K03010/K10839/K10838/K03014/K10740",19
"03020","03020","RNA polymerase","13/628","26/3446",0.5,2.74363057324841,4.21242359780107,0.0002185462289191,0.00392097646001915,0.0036131172211393,"K03009/K03018/K03020/K03011/K03006/K03016/K03000/K03008/K03012/K03021/K03010/K03004/K03014",13
"03082","03082","ATP-dependent chromatin remodeling","21/628","54/3446",0.388888888888889,2.13393489030432,3.96424983812848,0.000265721923600228,0.00426553614200365,0.00393062346821389,"K10752/K11659/K11344/K11339/K11680/K04499/K11723/K22184/K02326/K11643/K11340/K11652/K11319/K11320/K11661/K06067/K11655/K09201/K11304/K11650/K11651",21
"04723","04723","Retrograde endocannabinoid signaling","21/628","54/3446",0.388888888888889,2.13393489030432,3.96424983812848,0.000265721923600228,0.00426553614200365,0.00393062346821389,"K03940/K03964/K04547/K02677/K19662/K19663/K03949/K03946/K03936/K03939/K03965/K11353/K03937/K03953/K03950/K03963/K12302/K11352/K03952/K03934/K03954",21
"05017","05017","Spinocerebellar ataxia","24/628","67/3446",0.358208955223881,1.96558608232722,3.76736972492321,0.000425522879761582,0.00648922391636412,0.00597971625770223,"K02677/K19662/K19663/K02737/K03064/K02732/K02739/K02738/K02736/K03065/K03061/K03028/K02734/K09027/K14564/K03120/K03031/K02727/K11304/K04456/K03033/K10881/K02726/K03066",24
"05031","05031","Amphetamine addiction","13/628","29/3446",0.448275862068966,2.4598067208434,3.72628277484919,0.000832698029374709,0.0120939475694898,0.0111443796412555,"K04348/K02677/K19662/K19663/K09049/K06067/K06269/K04379/K09029/K04450/K09047/K04448/K05870",13
"04710","04710","Circadian rhythm","8/628","14/3446",0.571428571428571,3.13557779799818,3.77928562879445,0.001242564522403,0.0172264626969507,0.0158739104058183,"K03094/K08959/K08960/K03868/K02223/K09026/K02296/K05870",8
"03018","03018","RNA degradation","19/628","54/3446",0.351851851851852,1.93070299598962,3.25374872291598,0.00212214130077535,0.0281414389885426,0.0259318868332731,"K12603/K12605/K14443/K03678/K12586/K12585/K12589/K12620/K18681/K12625/K12626/K12602/K12592/K12590/K12623/K12622/K03681/K12627/K04077",19
"04728","04728","Dopaminergic synapse","16/628","45/3446",0.355555555555556,1.95102618542109,3.03109366188128,0.0041497030303244,0.0500843393767738,0.0461519192876569,"K04348/K04547/K02677/K19662/K19663/K03456/K09049/K04354/K02223/K02296/K06269/K04379/K04450/K09047/K04456/K05870",16
"03015","03015","mRNA surveillance pathway","17/628","49/3446",0.346938775510204,1.90374366307032,3.00745731631757,0.00424045923790516,0.0500843393767738,0.0461519192876569,"K03267/K12881/K14396/K03456/K12883/K14411/K14294/K12812/K13098/K04354/K14404/K14398/K06269/K13114/K14376/K13025/K14324",17
"03008","03008","Ribosome biogenesis in eukaryotes","19/628","57/3446",0.333333333333333,1.82908704883227,2.97924154226971,0.00426948466818399,0.0500843393767738,0.0461519192876569,"K11128/K14575/K14553/K03264/K11130/K11131/K14563/K14569/K07178/K07936/K14564/K11129/K14571/K14560/K14538/K14561/K14525/K14552/K14565",19
"04814","04814","Motor proteins","23/628","75/3446",0.306666666666667,1.68276008492569,2.82178109677635,0.00573114807748067,0.0647407468011705,0.0596575647831321,"K10406/K10402/K10392/K17914/K07374/K11498/K10394/K20196/K20198/K10416/K10400/K10359/K17915/K10425/K20197/K17387/K10403/K10418/K10405/K17916/K10407/K10415/K10424",23
"04918","04918","Thyroid hormone synthesis","11/628","28/3446",0.392857142857143,2.15570973612375,2.89831576439359,0.00715760658866956,0.0779667860551506,0.0718451488411569,"K15225/K02677/K19662/K19663/K08054/K01540/K09049/K04450/K09047/K09487/K05870",11
"04966","04966","Collecting duct acid secretion","6/628","12/3446",0.5,2.74363057324841,2.85593878000855,0.0122093887870166,0.128409088966899,0.118326925812466,"K13627/K02152/K02153/K02147/K02149/K02151",6
"04925","04925","Aldosterone synthesis and secretion","13/628","39/3446",0.333333333333333,1.82908704883227,2.45782132730295,0.0168690156461924,0.171501659069623,0.15803604131696,"K04914/K04919/K00513/K02677/K19662/K19663/K18283/K01540/K09049/K18050/K04450/K09047/K05870",13
"05323","05323","Rheumatoid arthritis","8/628","20/3446",0.4,2.19490445859873,2.5296383738535,0.0187105778354103,0.184087943219359,0.169634101258219,"K02152/K02153/K02147/K04379/K02149/K03662/K04448/K02151",8
"04310","04310","Wnt signaling pathway","21/628","75/3446",0.28,1.53643312101911,2.21702597148925,0.0234715477478325,0.223713189471528,0.206148133179976,"K04495/K04503/K10151/K10152/K03094/K04491/K04348/K08960/K02677/K19662/K19663/K03868/K04499/K02306/K04507/K04493/K02085/K16273/K04502/K04512/K04448",21
"03060","03060","Protein export","8/628","21/3446",0.380952380952381,2.09038519866545,2.36571948892838,0.0255299114750198,0.235958272723668,0.21743178194036,"K03109/K12946/K12272/K03108/K09647/K09648/K03104/K16365",8
"03430","03430","Mismatch repair","7/628","18/3446",0.388888888888889,2.13393489030432,2.27671099517135,0.0321613682987651,0.288506392091863,0.265854035163167,"K10747/K07466/K10755/K03504/K10739/K10756/K10740",7
"04110","04110","Cell cycle","25/628","96/3446",0.260416666666667,1.42897425690021,2.01209454758083,0.0341750584314991,0.297811223474492,0.274428288758203,"K11405/K09993/K04503/K10151/K10152/K03094/K06639/K03868/K10779/K06626/K11479/K03456/K21771/K04683/K09392/K02210/K03358/K03364/K05868/K21770/K02180/K06631/K06641/K06067/K02537",25
"05207","05207","Chemical carcinogenesis - receptor activation","20/628","74/3446",0.27027027027027,1.48304355310725,1.98272420153385,0.0381459608442446,0.323181057152628,0.297806185538401,"K00799/K04503/K10152/K02677/K19662/K19663/K08526/K09097/K09049/K08524/K08525/K04379/K04079/K04450/K09047/K09487/K04448/K04456/K14293/K05870",20
"04927","04927","Cortisol synthesis and secretion","9/628","27/3446",0.333333333333333,1.82908704883227,2.04143898128741,0.0436463726956442,0.359787666815446,0.331538592026657,"K00512/K04877/K04914/K00513/K09049/K09355/K04450/K09047/K05870",9
"05166","05166","Human T-cell leukemia virus 1 infection","25/628","99/3446",0.252525252525253,1.38567200669112,1.83785734902193,0.0480282012659396,0.385489510160831,0.355222430415675,"K04503/K10151/K10152/K04348/K08054/K06626/K03358/K21770/K09049/K02180/K07936/K06641/K15306/K04379/K03120/K04502/K04450/K09047/K04734/K08057/K11304/K04448/K04456/K02537/K05870",25
"03030","03030","DNA replication","10/628","32/3446",0.3125,1.71476910828025,1.91740098337455,0.0522755224461399,0.408821393489043,0.376722388478255,"K10747/K10745/K07466/K10755/K03504/K02210/K02326/K10739/K10756/K10740",10
"04659","04659","Th17 cell differentiation","9/628","28/3446",0.321428571428571,1.76376251137398,1.91538139532556,0.0543221925637489,0.414206718298585,0.381684879329499,"K04348/K08526/K08524/K08525/K04379/K04079/K04734/K18052/K04448",9
"04934","04934","Cushing syndrome","19/628","73/3446",0.26027397260274,1.42819125730739,1.74540009718192,0.0601058068306209,0.447128563008277,0.412021833729802,"K00512/K04877/K04503/K04914/K04491/K00513/K13298/K06626/K14961/K09186/K09097/K09049/K14963/K09355/K02085/K04450/K09047/K01679/K05870",19
"05171","05171","Coronavirus disease - COVID-19","27/628","111/3446",0.243243243243243,1.33473919779652,1.692092427397,0.0621372726679049,0.448767509817149,0.413532097053249,"K02896/K02942/K02937/K02941/K02885/K02883/K02981/K02997/K02677/K19662/K19663/K02873/K02993/K02962/K02936/K02903/K02912/K02955/K02865/K02974/K02951/K02934/K02900/K04379/K04734/K02882/K04448",27
"05120","05120","Epithelial cell signaling in Helicobacter pylori infection","10/628","33/3446",0.303030303030303,1.66280640802934,1.80584081652519,0.0632688620397948,0.448767509817149,0.413532097053249,"K04409/K02152/K07293/K02153/K02147/K02149/K04734/K03662/K04448/K02151",10
"05169","05169","Epstein-Barr virus infection","20/628","79/3446",0.253164556962025,1.3891800370878,1.65175824439861,0.0702503623552408,0.486962739053374,0.448728391120797,"K04503/K10151/K10152/K06063/K06626/K03064/K11644/K06054/K03065/K03061/K03028/K06067/K03031/K04734/K08057/K04448/K04456/K03033/K10881/K03066",20
"04657","04657","IL-17 signaling pathway","10/628","34/3446",0.294117647058824,1.61390033720495,1.69799637914817,0.0756476426509479,0.512722911300869,0.47246597866206,"K12890/K04379/K09029/K04502/K04079/K04734/K13088/K09487/K04448/K04449",10
"04750","04750","Inflammatory mediator regulation of TRP channels","10/628","35/3446",0.285714285714286,1.56778889899909,1.59361717014711,0.0894335118530241,0.592983067721138,0.546424431687813,"K16342/K02677/K19662/K19663/K06269/K18050/K18051/K16343/K06068/K18052",10
"04950","04950","Maturity onset diabetes of the young","5/628","14/3446",0.357142857142857,1.95973612374886,1.69842416573112,0.0942636520628503,0.611710933599348,0.56368186115971,"K08033/K07292/K08037/K08035/K06054",5
"04111","04111","Cell cycle - yeast","14/628","54/3446",0.259259259259259,1.42262326020288,1.47749593488473,0.100120114870876,0.636179896575358,0.586229619967629,"K03094/K06639/K03868/K02516/K03456/K02210/K03358/K03364/K02180/K06641/K04354/K06676/K06674/K02537",14
"04928","04928","Parathyroid hormone synthesis, secretion and action","14/628","55/3446",0.254545454545455,1.39675738274464,1.40005922400245,0.11297477423636,0.703210329430403,0.647997093901355,"K02677/K19662/K19663/K08526/K09049/K08524/K08525/K13302/K04379/K04450/K09047/K04449/K03626/K05870",14
"04960","04960","Aldosterone-regulated sodium reabsorption","5/628","15/3446",0.333333333333333,1.82908704883227,1.51893553424884,0.121135011470162,0.715340516864938,0.659174867999788,"K02677/K19662/K19663/K01540/K13302",5
"04911","04911","Insulin secretion","8/628","28/3446",0.285714285714286,1.56778889899909,1.42391421079154,0.121796817943032,0.715340516864938,0.659174867999788,"K02677/K19662/K19663/K01540/K09049/K04450/K09047/K05870",8
"05132","05132","Salmonella infection","24/628","104/3446",0.230769230769231,1.26629103380696,1.30158918446535,0.121959694678612,0.715340516864938,0.659174867999788,"K03094/K07374/K04491/K05757/K10416/K05755/K04409/K05733/K10425/K07941/K03671/K10418/K04379/K04079/K10407/K07937/K04734/K09487/K07955/K04448/K04456/K20184/K10415/K10424",24
"04915","04915","Estrogen signaling pathway","11/628","42/3446",0.261904761904762,1.4371398240825,1.34540854994446,0.127925718998452,0.736176307443921,0.678374716436676,"K09049/K09571/K04379/K04079/K04450/K09047/K09487/K06068/K04448/K04456/K05870",11
"03013","03013","Nucleocytoplasmic transport","17/628","71/3446",0.23943661971831,1.31385126042881,1.26130495979619,0.135340655586684,0.764424073221088,0.704404581708475,"K12881/K12883/K14294/K12812/K07936/K14308/K14298/K13174/K14295/K18755/K20223/K14305/K13114/K13025/K13176/K14324/K14293",17
"04340","04340","Hedgehog signaling pathway","8/628","29/3446",0.275862068965517,1.51372721282671,1.31133309416569,0.142838808726975,0.790984631348241,0.728879712062054,"K04503/K10151/K08959/K08960/K10394/K08958/K06230/K16798",8
"04380","04380","Osteoclast differentiation","11/628","43/3446",0.255813953488372,1.40371796770849,1.25743421157908,0.145229965100005,0.790984631348241,0.728879712062054,"K04348/K04379/K09029/K04502/K09030/K04734/K04448/K04449/K04456/K09028/K05870",11
"05202","05202","Transcriptional misregulation in cancer","19/628","82/3446",0.231707317073171,1.27143855833463,1.17423335652629,0.151654725028832,0.811485809364803,0.74777122036377,"K10151/K12823/K11313/K08526/K09186/K15589/K02211/K08524/K08525/K09355/K15610/K11644/K13098/K14651/K06067/K11424/K15613/K11459/K04453",19
