source,target,weight,source_type,target_type
4924,2931,1583.9570298345357,Epidermal/Muscle,Epidermal/Muscle
4924,2957,1561.507785736792,Epidermal/Muscle,Epidermal/Muscle
4924,6231,1547.057927956799,Epidermal/Muscle,Epidermal/Muscle
4821,2931,-1479.8102035393433,Epidermal/Muscle,Epidermal/Muscle
4821,2957,-1479.47183883192,Epidermal/Muscle,Epidermal/Muscle
4821,6231,-1411.9757856449105,Epidermal/Muscle,Epidermal/Muscle
4924,14,1378.544507391919,Epidermal/Muscle,Epidermal/Muscle
4924,2956,1348.7638033734531,Epidermal/Muscle,Epidermal/Muscle
4821,2956,-1287.2683499032823,Epidermal/Muscle,Epidermal/Muscle
4821,14,-1280.3359121779886,Epidermal/Muscle,Epidermal/Muscle
4924,5061,1224.3216724847352,Epidermal/Muscle,Neural-related
4984,2957,1220.8708505865013,Epidermal/Muscle,Epidermal/Muscle
4984,2931,1218.6797539930612,Epidermal/Muscle,Epidermal/Muscle
4955,2931,-1215.8665337429538,Epidermal/Muscle,Epidermal/Muscle
4955,2957,-1210.7896581146858,Epidermal/Muscle,Epidermal/Muscle
4924,6250,1210.704278511968,Epidermal/Muscle,Epidermal/Muscle
4955,6231,-1206.0462851293134,Epidermal/Muscle,Epidermal/Muscle
4924,2932,1197.9581108629309,Epidermal/Muscle,Epidermal/Muscle
4984,6231,1195.3915143039358,Epidermal/Muscle,Epidermal/Muscle
4924,3613,1144.7415918530849,Epidermal/Muscle,Epidermal/Muscle
4821,6250,-1141.9733336147915,Epidermal/Muscle,Epidermal/Muscle
4924,2933,1138.3728069278643,Epidermal/Muscle,Epidermal/Muscle
4924,5999,1135.1878161919867,Epidermal/Muscle,Epidermal/Muscle
4924,12,1126.6108086800166,Epidermal/Muscle,Epidermal/Muscle
4821,5061,-1123.865287239919,Epidermal/Muscle,Neural-related
4924,3251,1116.812617353917,Epidermal/Muscle,Epidermal/Muscle
4924,6448,1112.3860919298725,Epidermal/Muscle,Epidermal/Muscle
4924,6262,1098.2111154144866,Epidermal/Muscle,Neural-related
4821,2932,-1094.8837670248568,Epidermal/Muscle,Epidermal/Muscle
4924,2954,1084.6464687352325,Epidermal/Muscle,Neural-related
4924,10,1083.4794806123125,Epidermal/Muscle,Epidermal/Muscle
4984,14,1075.5459563161346,Epidermal/Muscle,Epidermal/Muscle
4821,12,-1070.9432438361,Epidermal/Muscle,Epidermal/Muscle
4821,5999,-1066.6464652303562,Epidermal/Muscle,Epidermal/Muscle
4821,3251,-1065.9984476408938,Epidermal/Muscle,Epidermal/Muscle
4955,14,-1057.6113876757615,Epidermal/Muscle,Epidermal/Muscle
4821,3613,-1055.4321495537376,Epidermal/Muscle,Epidermal/Muscle
4924,517,1054.3133462714154,Epidermal/Muscle,Epidermal/Muscle
4821,2933,-1050.7146388544743,Epidermal/Muscle,Epidermal/Muscle
4821,6448,-1043.9622406391907,Epidermal/Muscle,Epidermal/Muscle
4821,10,-1043.737196397648,Epidermal/Muscle,Epidermal/Muscle
4924,1928,1041.6387782142585,Epidermal/Muscle,Epidermal/Muscle
4955,2956,-1038.2017060980745,Epidermal/Muscle,Epidermal/Muscle
4924,1372,1035.054826083446,Epidermal/Muscle,Epidermal/Muscle
4821,2954,-1032.332752408607,Epidermal/Muscle,Neural-related
4924,9,1016.8283671378147,Epidermal/Muscle,Epidermal/Muscle
4924,4565,1013.6631300022335,Epidermal/Muscle,Neural-related
4984,2956,1010.9191096436733,Epidermal/Muscle,Epidermal/Muscle
4924,2958,1010.6665289213423,Epidermal/Muscle,Neural-related
4924,3310,1006.0123134820982,Epidermal/Muscle,Epidermal/Muscle
4924,450,995.7199074850871,Epidermal/Muscle,Epidermal/Muscle
4821,6262,-993.3673934627868,Epidermal/Muscle,Neural-related
4821,1372,-992.598316984112,Epidermal/Muscle,Epidermal/Muscle
4821,517,-983.5027604088398,Epidermal/Muscle,Epidermal/Muscle
4924,4168,982.5116274288974,Epidermal/Muscle,Cnidocytes
4821,2958,-977.7987184010784,Epidermal/Muscle,Neural-related
4924,3739,975.6645138589067,Epidermal/Muscle,Epidermal/Muscle
4924,452,974.0072186017484,Epidermal/Muscle,Epidermal/Muscle
4924,3250,973.5225907710588,Epidermal/Muscle,Epidermal/Muscle
4924,3673,973.1829163873527,Epidermal/Muscle,Epidermal/Muscle
4924,2796,962.3239955807237,Epidermal/Muscle,Epidermal/Muscle
4924,4260,961.9901285940076,Epidermal/Muscle,Cnidocytes
4924,6251,961.2907740852697,Epidermal/Muscle,Epidermal/Muscle
4821,1928,-954.7164525340854,Epidermal/Muscle,Epidermal/Muscle
4924,5036,953.722696226763,Epidermal/Muscle,Epidermal/Muscle
4821,9,-952.6536427369161,Epidermal/Muscle,Epidermal/Muscle
4984,5061,951.9303507094306,Epidermal/Muscle,Neural-related
4821,3250,-951.3403670673665,Epidermal/Muscle,Epidermal/Muscle
4955,5061,-950.4029106253439,Epidermal/Muscle,Neural-related
4924,4398,949.1667812325253,Epidermal/Muscle,Epidermal/Muscle
4955,6250,-948.8655849268663,Epidermal/Muscle,Epidermal/Muscle
4821,3310,-947.3527786106175,Epidermal/Muscle,Epidermal/Muscle
4924,7414,942.7467710588306,Epidermal/Muscle,Cnidocytes
4924,3169,942.3572381659584,Epidermal/Muscle,Epidermal/Muscle
4984,6250,937.7501550873399,Epidermal/Muscle,Epidermal/Muscle
4997,2931,936.8413854212878,Epidermal/Muscle,Epidermal/Muscle
4924,13,930.4719147097788,Epidermal/Muscle,Neural-related
4924,4797,930.2997452439669,Epidermal/Muscle,Epidermal/Muscle
4821,450,-930.1373626817423,Epidermal/Muscle,Epidermal/Muscle
4924,3864,928.6697312465795,Epidermal/Muscle,Epidermal/Muscle
