,Clhe_Bioluminescent Cells,Clhe_Epidermal/Muscle,Clhe_Gastroderm,Clhe_Gland Cell,Clhe_Nematocyte,Clhe_Neural,Clhe_Stem Cell/Germ Cell,Auco_0,Auco_1,Auco_10,Auco_11,Auco_12,Auco_13,Auco_14,Auco_15,Auco_16,Auco_17,Auco_18,Auco_19,Auco_2,Auco_20,Auco_21,Auco_22,Auco_23,Auco_3,Auco_4,Auco_5,Auco_6,Auco_7,Auco_8,Auco_9
Auco_11,0.018433549519639193,0.00939495341356893,0.0011117691766176266,0.0023637706482065118,0.8153669505362672,0.0016387189156074756,0.0026558648142588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Auco_12,0.0038790373172514145,0.014504136314504198,0.7085003940258432,0.009098424079045504,0.007505578223033193,0.00650128554681814,0.025331072023151564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Auco_13,0.0025171395318499463,0.009219591720887151,0.6555876079101016,0.006500717049976408,0.00985559140282314,0.0023067094605471955,0.033434815558939984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Auco_14,0.0034099362887904947,0.014094197700677779,0.04463253354577947,0.5929906526882267,0.004994737447480856,0.08648982550391258,0.059384090134352606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Auco_15,0.0023027479953266266,0.0693629806399993,0.070473819392585,0.011298398395375785,0.018490393409639278,0.3882991512679125,0.0926644992768065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Auco_16,0.006934578955153018,0.00397017514446091,0.00015817797727603404,0.0013753998589527395,0.7665520851048536,0.0002516296328487618,0.0002821922944873137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Auco_17,0.0014818667897534006,0.05516803277901196,0.06606835904320066,0.0370081719862893,0.011200471191196998,0.1345041541337076,0.16516115283962307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Auco_18,0.007557050363660363,0.005235893182637069,0.00019437012580592348,6.0768807949340296e-05,0.8838832711062322,0.0012613683960808195,0.0009479644383364383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Auco_19,0.0013899592877361952,0.007409692431949897,0.007527402352122489,0.8636493638409088,0.005317369705507483,0.0040603119558095205,0.02519742068265854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Auco_2,0.02488401622583088,0.20639505886042153,0.3044191596340796,0.023262206420218604,0.008188070276729518,0.006364992868295741,0.09674755144022233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Auco_20,0.0038170346822446926,0.05900802309730695,0.08994206986057703,0.01817455541569653,0.016704514192819805,0.1589450338115066,0.12180679779157659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Auco_21,0.0,0.008244613376769046,0.5486128419418558,0.0022487085169414192,0.0022918552455556867,0.0029194116867312368,0.011193807382814608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Auco_22,0.0007409079278307231,0.3076333847226064,0.0512070584286166,0.014216702093785592,0.018698275381310782,0.10184292053827607,0.06701331208966746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Auco_23,0.0,0.007240924491572556,0.010550516011967178,0.8950443265824383,0.0,0.0003808419709023191,0.006384821061120723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Auco_3,0.08523095936059075,0.02973616263844641,0.5552484295908162,0.024102228965680768,0.011106826236690988,0.012491940040076161,0.08734205766041328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Auco_4,0.020411861519636216,0.038242239230669675,0.011237064367463512,0.007459144329135645,0.5731399351684812,0.01309823233772811,0.18992932131441795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Auco_5,0.2004126620914731,0.011586961154160457,0.6027468394597711,0.014164640102980205,0.01371028185041726,0.005460966030121508,0.06886907275724094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Auco_6,0.0011934322315866421,0.017344536632731593,0.011782955835311887,0.005207908096333509,0.8018598239972246,0.009946300921348485,0.026948516446507937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Auco_7,0.0031879969791348576,0.040403067736782,0.02183503126051636,0.006550609992221372,0.03223728453743871,0.5354985707556056,0.1338165677945844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Auco_8,0.0004643699744051173,0.05008616819255781,0.02864636456233457,0.027712908636098054,0.022873788175687797,0.24342664158004865,0.16331068471901872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Auco_9,0.003624325101981,0.02171287248656524,0.027610381428009145,0.01049760652249033,0.034882470053938984,0.7418526445394323,0.03897280550790095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
