OG0000008	-13	-5	30	21	9	0	0	-2	0	0	17	8	14	9	-14	0	-1
OG0000012	18	30	3	-9	-14	-4	10	-4	2	0	-16	-1	-6	-13	-13	-1	-1
OG0000013	-11	57	-1	-6	-6	0	1	4	-1	0	13	1	-3	-5	12	-1	2
OG0000015	-11	11	8	-5	25	0	0	-1	5	0	15	5	5	4	-7	-6	3
OG0000016	0	-7	0	-6	-1	0	0	9	-5	0	0	-3	-2	-2	36	3	3
OG0000020	-6	66	0	-4	-4	0	2	0	0	0	6	3	-2	-4	-5	1	-1
OG0000025	-4	-6	5	2	-6	4	-6	-3	4	0	4	-1	0	-1	24	4	1
OG0000026	-4	-3	15	6	-13	-1	3	-3	10	0	4	0	1	-2	5	-3	2
OG0000027	26	11	0	-3	-5	-1	1	0	0	0	-21	0	-2	-3	-24	-1	-1
OG0000029	-7	27	13	-2	12	0	0	0	0	0	7	9	4	2	-23	0	0
OG0000031	14	-1	6	2	-12	0	2	-1	1	0	-12	-1	-1	-4	-10	-1	0
OG0000032	8	9	-10	-6	3	-1	2	-7	17	0	-7	-2	-4	-1	2	-2	2
OG0000033	-4	28	-1	3	-5	0	0	0	-1	0	4	2	-1	0	-6	-1	0
OG0000034	-5	41	-1	-2	-4	1	-1	0	-1	0	5	0	-5	-6	14	3	0
OG0000035	22	3	-2	3	-5	0	0	0	0	0	-19	0	-1	0	-18	0	-1
OG0000036	-8	50	5	3	0	0	0	0	-1	0	9	9	1	1	-14	0	0
OG0000038	-8	28	-1	0	-3	0	1	-2	1	0	9	1	0	-1	2	2	0
OG0000040	0	7	0	-1	-7	0	2	2	0	0	0	-1	-2	-3	5	-1	1
OG0000043	-4	78	-4	-3	0	0	1	1	-3	0	4	2	-1	-1	-10	-1	0
OG0000046	0	-3	0	-2	-3	-1	7	2	-3	0	0	-1	-1	-2	23	8	-1
OG0000047	-7	35	6	-11	26	0	0	0	0	0	8	7	2	1	-14	-1	0
OG0000049	-3	68	-4	-1	-3	0	0	0	0	0	4	2	-1	-1	-9	0	0
OG0000050	-2	46	-8	4	-5	0	-2	0	0	0	1	1	-1	-1	-7	-1	0
OG0000052	18	-1	-7	-6	28	0	1	0	0	0	-15	0	0	3	-16	0	0
OG0000053	-5	1	6	4	20	0	0	0	0	0	5	5	7	7	-11	0	0
OG0000054	17	14	-6	-3	-2	0	-1	0	0	0	-14	-1	-3	-1	-12	0	-1
OG0000055	-3	-6	7	0	-3	0	3	3	-2	0	2	0	0	-1	17	1	1
OG0000056	-7	21	5	-3	5	0	0	-1	0	0	8	4	0	0	-4	0	0
OG0000057	-6	23	4	-6	-2	0	0	-2	2	0	7	0	-1	-4	7	1	1
OG0000058	-3	45	-3	-2	-1	0	0	0	-1	0	2	1	-1	-1	-6	0	0
OG0000059	-4	2	-6	10	40	-1	2	-1	0	0	4	3	4	16	-8	0	0
OG0000060	4	-3	-1	0	-3	-1	4	-3	7	0	-3	-4	-2	-1	16	1	1
OG0000061	-3	16	4	3	-1	0	1	0	1	0	3	2	1	0	-10	-1	0
OG0000062	-3	6	-4	-6	5	-3	6	1	1	0	3	0	-1	-1	16	-1	5
OG0000069	1	-4	-3	-4	9	0	2	0	0	0	-2	0	0	0	5	2	-1
OG0000071	-5	1	20	-1	10	-1	0	-1	0	0	6	4	6	1	-10	0	0
OG0000072	-2	43	-4	-2	0	0	1	0	0	0	2	1	-1	-1	-7	0	-1
OG0000073	5	39	-6	0	-5	0	2	0	0	0	-4	0	-4	-2	-9	0	-1
OG0000075	-1	58	-6	-1	-2	0	-2	0	0	0	1	0	-2	-1	-7	0	0
OG0000077	-1	-5	-1	4	55	0	0	0	0	0	1	1	6	15	-6	0	0
OG0000078	-4	24	9	1	-4	0	0	-1	0	0	4	3	1	-1	-13	-1	0
OG0000080	-5	10	26	-5	7	0	0	0	0	0	6	7	5	0	-12	0	0
OG0000081	-3	47	-4	1	-1	0	0	0	-1	0	4	2	-1	0	-7	0	0
OG0000082	-5	6	1	-3	3	0	1	1	-1	0	6	1	0	0	5	-1	1
OG0000085	0	5	0	0	-5	0	-1	4	-3	0	0	0	-3	-3	10	2	0
OG0000086	-4	9	-2	2	-1	0	1	4	-2	0	5	0	0	1	4	-2	2
OG0000087	-2	76	-3	-1	-3	0	1	0	0	0	2	1	-2	-1	-6	0	0
OG0000093	0	-5	-5	31	14	0	0	0	0	0	0	1	3	18	-8	0	0
OG0000094	-3	-6	5	-1	0	0	0	-3	3	0	3	0	0	0	13	3	1
OG0000095	5	19	-5	1	-1	0	1	0	0	0	-5	0	-1	0	-13	0	0
OG0000100	-4	14	-6	22	3	-1	0	-1	1	0	5	3	1	7	-7	-1	0
OG0000102	-5	16	32	0	-8	0	0	1	-2	0	7	5	2	-3	-10	-2	0
OG0000104	-4	5	11	26	-16	0	0	0	0	0	4	3	3	1	-10	0	0
OG0000105	9	-15	22	4	-1	0	0	0	0	0	-8	0	4	1	-14	0	-1
OG0000106	-3	-4	0	20	15	-1	0	-1	0	0	2	2	7	13	-6	0	0
OG0000107	0	-1	-2	48	-8	-1	0	0	0	0	0	0	3	5	-11	0	-1
OG0000108	28	13	-6	-2	-3	0	2	0	0	0	-23	-1	-4	-1	-11	0	-1
OG0000110	7	16	-4	1	-3	0	0	0	0	0	-7	0	-1	-1	-14	0	0
OG0000112	-5	14	8	4	3	0	0	0	0	0	5	6	3	2	-10	0	0
OG0000113	-1	53	-5	-2	1	0	-1	-1	0	0	1	1	-2	-1	-6	0	0
OG0000115	-3	-2	3	1	1	0	0	4	-2	0	3	0	0	0	7	1	1
OG0000116	-3	13	-3	3	1	-1	2	1	-1	0	3	1	0	1	-3	0	0
OG0000118	-2	36	-2	-2	2	0	0	0	0	0	3	2	0	-1	-8	0	0
OG0000119	-2	51	-3	-1	-2	0	1	0	-1	0	2	1	-2	0	-5	0	0
OG0000122	-2	28	-3	3	-1	0	0	0	0	0	3	1	0	0	-7	0	0
OG0000123	-1	2	-1	0	-1	0	2	1	2	0	1	0	-2	0	19	-2	5
OG0000125	-2	38	-2	2	-5	0	-1	0	-1	0	2	1	0	-1	-4	1	-1
OG0000126	8	-1	-1	4	-8	0	1	5	-5	0	-8	-1	-1	0	0	0	0
OG0000127	3	35	-5	-2	-3	-1	0	1	-2	0	-3	0	-2	-1	-9	0	0
OG0000128	-1	17	-3	0	-1	0	0	1	-2	0	1	0	0	0	-4	1	-1
OG0000129	-2	12	-4	0	-2	3	-3	1	-3	0	1	0	-1	0	6	5	-1
OG0000131	-2	75	-2	-3	1	0	0	0	0	0	1	1	-2	-1	-4	0	0
OG0000132	0	18	-6	2	2	0	-1	0	-1	0	0	0	-1	1	-5	0	0
OG0000133	-3	42	-1	-2	-1	1	-2	1	-3	0	3	1	-1	-1	-2	1	-1
OG0000134	26	-8	17	-1	-7	-1	1	-1	1	0	-20	-1	0	-3	-9	0	0
OG0000135	-2	39	-4	-3	3	0	0	0	0	0	2	1	0	0	-4	0	0
OG0000136	12	4	-5	0	-2	1	-1	-1	0	0	-10	-1	-2	-1	-6	1	-1
OG0000137	-2	50	-3	-1	-2	0	0	0	-1	0	2	0	-1	-1	-4	0	0
OG0000139	-2	55	-1	-2	0	0	0	0	0	0	3	1	-1	-1	-5	0	0
OG0000141	-1	-4	-2	22	8	0	0	0	0	0	0	1	3	11	-4	0	0
OG0000142	-1	-4	6	-2	42	0	0	0	0	0	1	1	8	6	-3	0	0
OG0000143	-3	19	-2	0	0	-1	0	-2	6	0	3	0	0	0	0	-1	1
OG0000144	-3	38	-4	1	-2	0	1	1	0	0	2	1	0	0	-3	0	0
OG0000146	16	34	-5	-5	0	0	0	0	0	0	-13	0	-5	-2	-12	0	0
OG0000147	-3	-1	5	0	-1	-2	1	0	5	0	3	0	0	-1	5	-2	3
OG0000148	-2	42	-5	0	-1	0	0	0	0	0	1	1	0	0	-4	0	0
OG0000149	1	-4	-5	25	15	0	0	0	0	0	-1	0	2	17	-4	0	0
OG0000152	0	0	0	0	0	0	-2	5	-1	0	0	-2	-1	0	17	1	2
OG0000153	-3	49	-5	3	-1	-1	0	-1	0	0	2	2	-1	0	-4	0	0
OG0000154	-3	18	-1	9	-5	-1	4	-1	0	0	3	1	0	1	-5	0	-1
OG0000158	0	0	0	0	0	0	1	2	0	0	0	-1	0	0	19	2	1
OG0000159	3	63	-5	-4	1	0	0	0	0	0	-3	0	-3	-1	-8	0	0
OG0000161	-2	4	-3	-1	0	-1	4	0	1	0	1	0	-1	0	12	1	2
OG0000162	-1	66	-2	-1	-1	0	0	-1	0	0	1	1	-2	-1	-3	0	0
OG0000164	-3	20	2	2	0	0	0	0	0	0	4	3	0	0	-8	0	0
OG0000166	-2	3	6	-5	5	0	1	-4	0	0	2	1	1	0	-3	1	-1
OG0000167	-1	45	-2	-1	-2	0	0	0	0	0	1	0	-1	0	-5	0	0
OG0000169	-1	21	-3	-1	2	0	1	0	0	0	1	0	-1	0	-5	0	0
OG0000170	7	20	-3	-1	-4	0	-1	0	0	0	-6	0	-1	-1	-10	0	-1
OG0000171	-2	0	1	1	-2	0	2	1	-1	0	3	0	0	0	8	0	1
OG0000172	-2	25	-4	1	2	0	1	0	0	0	2	1	-1	0	-4	0	-1
OG0000173	9	44	-2	-2	-1	0	0	0	0	0	-8	0	-5	-3	-10	0	0
OG0000176	-2	22	-2	2	1	-1	0	0	-1	0	2	2	0	1	-6	0	0
OG0000177	0	81	0	0	0	0	0	0	0	0	1	0	-2	0	-2	0	0
OG0000178	2	-6	-1	40	-3	-1	0	0	0	0	-2	0	2	6	-5	0	-1
OG0000179	-2	2	7	6	-3	0	1	0	0	0	1	1	1	0	-6	0	0
OG0000180	-1	19	-3	0	1	0	1	-1	1	0	1	0	0	0	-3	-1	0
OG0000181	3	18	-5	-1	-2	0	0	0	0	0	-2	0	-2	-1	-3	-1	0
OG0000182	2	-1	1	-3	-1	0	2	0	1	0	-3	-1	-1	-2	4	1	0
OG0000183	-1	-3	-2	11	17	0	0	0	0	0	0	1	3	11	-5	0	0
